_id,address,contact,district,email,name
62c295942b962729a594f0c3,"C‐135,A,G&1st Floor,,Trichy‐620 018",0431‐ 2704311,Ariyalur,mphrma98@gmail.com ,"Meenakshi Pharma,"
62c295942b962729a594f0c4,"No.2,Devaki Ammal Street,,Chennai‐600 030",9884246093,Chennai City,arunapharmachennai@gmail.com,"Arun Pharma and Surgicals,"
62c295942b962729a594f0c5,"New no:16,Oldno:11,8th Street,,Chennai‐ 600 086",9840050518,Chennai City,lifecare772000@ymail.co.in,LIFECARE PHARMACEUTICALS
62c295942b962729a594f0c6,"Old no.14/1,New 14/1,,Chennai‐600 093",9841876739,Chennai City,medicineazonechennai@gmail.com,"Medicine Zone,"
62c295942b962729a594f0c7,"No.56/44,Vella Street,,Chennai‐600 029",044‐ 42654569,Chennai City,rkpdistributors@gmail.com,"R.K.PHARMA DISTRIBUTORS,"
62c295942b962729a594f0c8,"Plot no‐29, 1st 2nd & 3rd floor,Chennai‐600 091",9884218865,Chennai City,sreesaienterprises@ymail.com,"Sree Sai Enter Prises,"
62c295942b962729a594f0c9,"AP‐348,Ground floor,Iblock,,Chennai‐600 16/239.Thiruvenkata samy Road ",9444009773,Chennai City,srippadmambiosciences@yahoo.com,Sri Padamam Biosciences Pvt ltd
62c295942b962729a594f0ca,"East,,Coimbatore‐641002",9994988929,Coimbatore,kdnp2014@gmail.com ,"Nagammai Pharma,"
62c295942b962729a594f0cb,"117,1st floor,,Coimbatore‐641009",0422� �4227602,Coimbatore,phspharma@gmail.com ,"Purnai Hospital suppliers,"
62c295942b962729a594f0cc,"No,69,(old No2),,Cuddalore‐607 001",9443537592,Cuddalore,mahalaxmiags11@gmail.com,"Mahalaxmi Agencies,"
62c295942b962729a594f0cd,"Yogivasam,,Cuddalore‐607 001",9566444975,Cuddalore,yrcud@gmail.com ,"Yogiram Pharma,"
62c295942b962729a594f0ce,"4/27‐A,South Narasimhan Street,,Dharamapuri‐636 701",9894070258,Dharmapuri,,"Balaji Vaccine Pharma,"
62c295942b962729a594f0cf,"36/75,R.Slaxmipuram,,Krishnagiri‐635 001",04343‐ 231039,Dharmapuri,kalyaniaccounts@gmail.com ,"Jayasree Kalayani Agencies,"
62c295942b962729a594f0d0,"No:13,Kovil Street,Dindigul‐624 001",0451‐ 2433137,Dindigul,karthikeyamedicalagency@gamil.com ,Karthikeya Medical Agencies
