ATCvet,Dosageform,Genericname,Legalstatus,Manufacturername,Packagetype,Productcontrol,Routeofadministration,Storageconditions,Strengthvalue,Targetanimals,Tradename,Type,Unitofstrength ,Unitofvolume,Volume,_id
QJ01XB01,Powder for use in drinking water,Colistin,OTC,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 25°C,2000000,,COLISTIN SAV 2MIU ® (WSP),Meat,IU/g,g,500,63283c50428ed1b232dba818
QP54AA01,Solution for injection,Ivermectin,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Subcutaneous,,1,,Ivermectin 1%®,Meat,%,ml,100,63283c50428ed1b232dba819
QA11GA01,Powder for use in drinking water,Ascorbic acid,Prescription,Saudi Pharmaceutical Industries (SPI),Bottle,Uncontrolled,Oral,Store below 25°C,250,,Vitamin C 25 % ® WSP   ,,mg/g  ,g,1000,63283c50428ed1b232dba81a
QJ01FA90,Solution for injection,Tylosin Tartarate,Prescription,Saudi Pharmaceutical Industries (SPI),Vial,Uncontrolled,Intramuscular,,200,,Tylosav ®Injection,"meat, milk",mg/ml,ml,50,63283c50428ed1b232dba81b
QJ01XB01,Powder for use in drinking water,Colistin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,800000,"Poultry,Calves ,Lambs",Colistin 80,"meat, egg",IU/g,g,100,63283c50428ed1b232dba81c
QJ01XB01,Powder for use in drinking water,Colistin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,800000,"Poultry,Calves ,Lambs",Colistin 80,"meat, egg",IU/g,g,500,63283c50428ed1b232dba81d
QJ01XB01,Powder for use in drinking water,Colistin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,800000,"Poultry,Calves ,Lambs",Colistin 80,"meat, egg",IU/g,g,1000,63283c50428ed1b232dba81e
QJ01AA06,Powder for use in drinking water,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,25,"Poultry,Calves ,Lambs, Foals",Oxytetravet 25%       ,meat,%,g,100,63283c50428ed1b232dba81f
QJ01AA06,Powder for use in drinking water,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,25,"Poultry,Calves ,Lambs, Foals",Oxytetravet 25%       ,meat,%,g,500,63283c50428ed1b232dba820
QJ01AA06,Powder for use in drinking water,Oxytetracycline,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,25,"Poultry,Calves ,Lambs, Foals",Oxytetravet 25%       ,meat,%,g,1000,63283c50428ed1b232dba821
QA11GA01,Powder for use in drinking water,Ascorbic acid,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,250,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse",Vitamin C,,mg,g,100,63283c50428ed1b232dba822
QA11GA01,Powder for use in drinking water,Ascorbic acid,OTC,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,250,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse",Vitamin C,,mg,g,500,63283c50428ed1b232dba823
QA11GA01,Powder for use in drinking water,Ascorbic acid,OTC,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,250,"Poultry, Calves, Sheep,Goats, Cattle, Camle, Horse",Vitamin C,,mg,g,1000,63283c50428ed1b232dba824
QJ01CA04,Powder for use in drinking water,Amoxicillin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Sheep,Goats, Cattle, Dogs, Cats",Amoxivet 20% ,"meat, egg, milk",mg,g,100,63283c50428ed1b232dba825
QJ01CA04,Powder for use in drinking water,Amoxicillin,Prescription,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,Sachet,Uncontrolled,Oral,Store below 25°C,200,"Poultry, Sheep,Goats, Cattle, Dogs, Cats",Amoxivet 20% ,"meat, egg, milk",mg,g,500,63283c50428ed1b232dba826
